Video ID,Title,Published Date,Views,Likes,Duration
U_TVhyuaSjs,Complete Class 12th PHYSICS in 1 Shot | All Concepts & PYQs | JEE 2025,2025-01-18,2038250,40646,11:54:57
J8Obh-NyDV4,Complete Class 11th MATHS in 1 Shot | All Concepts & PYQs | JEE 2025,2025-01-17,1939890,38543,11:55:01
zd2PiAy-T08,Complete Class 11th PHYSICS in 1 Shot | All Concepts & PYQs | JEE 2025,2025-01-16,1731146,36316,07:45:58
FSlOdXN7leo,Complete Class 11th PHYSICS in 1 Shot | All Concepts & PYQs | JEE 2025,2025-01-15,4652116,88896,11:55:00
kwG6zR-Gvso,Complete ORGANIC CHEMISTRY in 1 Shot | All Concepts & PYQs | JEE 2025,2025-01-14,4705531,96238,11:54:57
3ariplq29ZU,Happy New Year 2025 || Vidyapeeth Launch || All Online Batches 2025 Launched 🙏🔥,2025-01-05,2234476,92848,01:57:47
es1kS6H5lRo,New year 2025: BIG ANNOUNCEMENT || Trailer,2025-01-02,910197,32060,00:01:48
J261bP0Iw-w,Launching PRACHAND Series for NEET 2025 💪 || On @prachand-neet,2024-12-02,627530,26287,00:41:36
5rm71M4QXEs,Launching MANZIL Batch for JEE 2025! Classes Starting from 9th Nov on @PW-JEEWallah  Join on PW App🔥,2024-11-06,623135,27447,00:51:11
8UkFDVimbQo,Diwali मेला 2024 || Suprises for All Students - PhysicsWallah,2024-10-24,1149658,40027,01:27:31
r-Mh1VR2xi4,JEE/NEET Results 2024: BHARAT Ka Sabse Bada SELECTION Celebration !! 💥 PhysicsWallah.,2024-09-29,1936064,63400,04:46:48
T1kRqUEm2d4,Teacher's Day Celebration: Ft. PW Faculties !!🙏🏻,2024-09-05,703874,20972,00:53:35
5Kk8ssWDiBc,Class 11 Comeback FIGHTER Batch  - IIT & NEET on PW APP @ Rs 2900,2024-09-03,827084,42895,00:59:20
wPDtZVrWDuw,Revealing INDIA’s BIGGEST Scholarship Exam🔥 - PWNSAT 2024 | Don’t Miss it,2024-09-01,820359,48618,01:27:11
RTc72tKuEh0,Happy INDEPENDENCE Day 🇮🇳 || Big Surprise for All Students !! 🔥 PhysicsWallah,2024-08-15,362412,20353,00:13:35
mroSTS0yZzU,Class 11 JEE/NEET : Complete Planning to Crack IIT / NEET Exam  || Best Timetable 🔥,2024-07-26,732443,29666,00:59:21
HWSK1w9WELU,NO ReNEET by Supreme Court !! MY MESSAGE FOR ALL NEET ASPIRANTS 🙏,2024-07-23,914740,33462,00:44:36
2RHbYechB_g,NO RE NEET Supreme Court Final Decision - NEET SCAM,2024-07-23,1591221,123602,00:00:47
